City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bengaluru,17-05-2023,40.64,91.59,14.27,32.51,36.02,17.39,1.19,4.17,36.64,1.42,4.56,,110,Moderate
Bengaluru,18-05-2023,55.14,118.1,13.73,35.15,35.89,19.2,1.19,4.54,43.17,2.25,5.25,,121,Moderate
Bengaluru,19-05-2023,51.35,101.63,8.15,27.75,25.63,18.52,0.97,3.86,45.7,1.4,3.42,,116,Moderate
Bengaluru,20-05-2023,46.82,105.55,8.15,29.22,28.8,18.13,1.06,4.83,40.95,1.14,3.22,,109,Moderate
Bengaluru,21-05-2023,45.3,93.68,5.1,26.31,23.99,16.95,0.88,4.25,51.87,0.92,1.58,,109,Moderate
Bengaluru,22-05-2023,40.4,84.74,9.12,28.98,30.39,16.3,1.11,5.69,62.73,1.2,1.31,,107,Moderate
Bengaluru,23-05-2023,43.26,97.98,12.96,34.61,35.36,17.81,1.04,3.95,34.01,1.43,2.94,,102,Moderate
Bengaluru,24-05-2023,35.93,75.5,6.87,27.67,26.04,16.8,0.89,5.29,51.84,0.85,2.59,,92,Satisfactory
Bengaluru,25-05-2023,26.07,71.31,6.76,25.34,25.38,15.38,0.79,5,54.83,0.56,1.99,,82,Satisfactory
Bengaluru,26-05-2023,22.5,49.25,5.26,26.04,23.18,13.51,0.69,3.85,65.11,0.49,1.73,,91,Satisfactory
Bengaluru,27-05-2023,25.77,59.78,8.57,32.49,30.96,16.1,0.94,4.44,60.35,0.78,2.67,,92,Satisfactory
Bengaluru,28-05-2023,38.91,84.93,7.84,25.31,25.24,16.8,0.92,4.07,51.83,0.93,2.9,,92,Satisfactory
Bengaluru,29-05-2023,28.66,62.28,5.08,24.99,22.09,15.5,0.75,4.82,82.31,0.82,2.12,,112,Moderate
Bengaluru,30-05-2023,35.18,77.36,5.72,22.93,22.95,14.98,0.79,3.96,64.17,1.18,1.88,,98,Satisfactory
Bengaluru,31-05-2023,30.29,60.85,6.44,24.81,24.68,13.84,0.82,4.09,69.14,0.88,2.32,,101,Moderate
Bengaluru,01-06-2023,28.95,64.19,9.57,27.09,29.63,13.43,1.04,4.4,52.56,0.81,2.44,,89,Satisfactory
Bengaluru,02-06-2023,44.24,64.72,5.18,18.31,19.6,12.94,0.85,4.39,45.14,0.53,1.45,,100,Satisfactory
Bengaluru,03-06-2023,20.3,42.09,6.5,23.54,24.12,12.08,0.9,4.71,51.34,0.55,1.75,,98,Satisfactory
Bengaluru,04-06-2023,27.33,61.65,9,24.48,30.04,11.9,0.79,4.54,40.04,0.41,1.52,,69,Satisfactory
Bengaluru,05-06-2023,28.4,56.09,7.78,23.56,27.22,10.02,0.75,4.73,45.01,0.28,1.27,,78,Satisfactory
Bengaluru,06-06-2023,25.72,51.53,7.47,27.41,27.68,12.3,1.02,4.17,46.31,0.41,1.57,,78,Satisfactory
Bengaluru,07-06-2023,25.02,56.96,8.64,31.44,32.77,15.21,0.92,5.38,50.51,0.29,1.49,,102,Moderate
Bengaluru,08-06-2023,23.54,53.47,6.54,23.49,24.49,14.01,0.81,5.1,54.31,0.16,1.16,,76,Satisfactory
Bengaluru,09-06-2023,16.31,39.84,5.29,17.7,20.29,12.94,0.66,4.02,50.05,0.11,0.77,,66,Satisfactory
Bengaluru,10-06-2023,7.85,25.87,6.28,16.77,21.21,11.79,0.62,4.44,45,0.08,0.65,,54,Satisfactory
Bengaluru,11-06-2023,11.32,30.88,5.87,16.85,20.4,13.18,0.72,4.58,36.82,0.21,0.8,,50,Good
Bengaluru,12-06-2023,12.8,35.87,6.7,17.93,22.31,13.74,0.61,6.09,30.56,0.43,1.09,,51,Satisfactory
Bengaluru,13-06-2023,16.38,38.15,7.7,17.76,23.51,12.46,0.66,7.48,25.3,0.66,1.65,,50,Good
Bengaluru,14-06-2023,22.11,47.2,7.85,18.09,23.77,12.54,0.64,8.44,24.42,1.82,5.73,,59,Satisfactory
Bengaluru,15-06-2023,23.64,54.09,9.57,20.9,24.36,12.52,0.68,8.45,24.61,1.95,7.15,,69,Satisfactory
Bengaluru,16-06-2023,22.01,56.08,6.47,18.54,21.24,12.87,0.62,8.99,25.18,2.19,3.2,,63,Satisfactory
Bengaluru,17-06-2023,25.77,64.03,8.35,21.68,25.92,13.23,0.7,8.36,30.6,1.28,2.92,,61,Satisfactory
Bengaluru,18-06-2023,28.82,64.96,6.09,20.1,22.94,13.94,0.7,6.23,30.67,0.87,2.34,,70,Satisfactory
Bengaluru,19-06-2023,25.41,60.88,7.2,20.9,23.52,12.07,0.78,4.91,29.26,1.03,2.69,,74,Satisfactory
Bengaluru,20-06-2023,24.36,53.32,5.24,18.74,20.57,12,0.65,4.96,32.97,0.69,1.97,,67,Satisfactory
Bengaluru,21-06-2023,25.35,56.61,5.8,20.66,22.89,12.55,0.74,5.48,38.03,1.42,2.5,,64,Satisfactory
Bengaluru,22-06-2023,16.58,45.48,4.93,20.04,21.76,12.89,0.69,5.06,38.81,1.31,1.94,,67,Satisfactory
Bengaluru,23-06-2023,14.8,36.43,4.83,20.19,21.5,12.11,0.67,4.46,37.89,0.8,2.26,,66,Satisfactory
Bengaluru,24-06-2023,18.54,44.9,6.3,21.39,22.49,13.29,0.71,4.33,32.56,0.87,2.76,,65,Satisfactory
Bengaluru,25-06-2023,30.39,76.25,6.73,23.04,26.12,13.05,0.76,4.77,30.97,0.97,2.46,,65,Satisfactory
Bengaluru,26-06-2023,34.69,61.12,7.53,21.39,24.94,13.32,0.76,4.15,25.3,1.45,3.01,,74,Satisfactory
Bengaluru,27-06-2023,26.44,65.51,7.51,21.17,24.37,12.55,0.72,4.27,28.6,1.2,1.93,,72,Satisfactory
Bengaluru,28-06-2023,26.98,85.13,7.01,21.09,23.98,7.99,0.68,4.78,33.5,0.94,1.58,,72,Satisfactory
Bengaluru,29-06-2023,25.37,81.98,6.35,24.27,27.38,9.02,0.72,4.7,37.55,0.5,1.39,,79,Satisfactory
Bengaluru,30-06-2023,20.16,63.53,5.14,17.51,19.15,10.04,0.63,3.91,33.55,0.36,1.15,,68,Satisfactory
Bengaluru,01-07-2023,26.89,70.15,6.08,18.8,21.32,9.92,0.71,4.63,35,0.39,1.36,,65,Satisfactory
Bengaluru,02-07-2023,20.79,62.01,6.09,19.94,23.04,10.46,0.73,5.37,39.44,0.4,1.33,,70,Satisfactory
Bengaluru,03-07-2023,18.25,60.9,5.89,18.61,21.1,8.4,0.7,4.98,33.59,0.45,1.52,,64,Satisfactory
Bengaluru,04-07-2023,18.92,60.19,6.44,21.98,23.35,8.71,0.79,5.09,27.13,1.16,1.73,,65,Satisfactory
Bengaluru,05-07-2023,20.9,57.46,6.03,19.92,23.66,11.62,0.7,5.03,25.86,0.79,1.6,,63,Satisfactory
Bengaluru,06-07-2023,16.65,51.06,6.2,21.47,25.96,10.2,0.76,5.32,29,0.5,1.65,,62,Satisfactory
Bengaluru,07-07-2023,19.38,68.71,5.33,18.38,21.55,8.26,0.75,5.3,32.8,0.85,1.36,,69,Satisfactory
Bengaluru,08-07-2023,17.24,55.7,5.42,16.23,19.26,8.74,0.76,5.8,29.35,0.64,1.42,,58,Satisfactory
Bengaluru,09-07-2023,19.53,46.87,5.88,16.78,20.78,10.19,0.86,5.41,25.43,0.74,1.66,,64,Satisfactory
Bengaluru,10-07-2023,31.67,50.35,6.02,19.9,22.32,11.63,0.78,5.79,30.18,0.86,1.34,,68,Satisfactory
Bengaluru,11-07-2023,23.49,61.32,6.71,24.25,24.61,11.9,0.84,7.22,31.66,0.63,2.06,,86,Satisfactory
Bengaluru,12-07-2023,20.95,62.33,6.06,22.71,23.18,11.9,0.79,7.87,32.12,0.53,1.82,,71,Satisfactory
Bengaluru,13-07-2023,20.39,57.91,5.27,21.27,22.77,11.76,0.75,6.01,32.55,0.44,1.35,,62,Satisfactory
Bengaluru,14-07-2023,19.18,51.48,5.39,20,20.69,11.64,0.74,6.77,31.64,0.56,1.24,,63,Satisfactory
Bengaluru,15-07-2023,17.84,47.39,6.14,21.24,21.59,10.92,0.8,5.93,32.19,0.5,1.68,,65,Satisfactory
Bengaluru,16-07-2023,24.91,46.99,6.8,21.88,22.16,12.2,0.8,4.12,25.04,0.55,1.76,,65,Satisfactory
Bengaluru,17-07-2023,26.83,55,9.37,24.84,26.64,12.84,0.82,3.9,25.39,0.68,2.44,,69,Satisfactory
Bengaluru,18-07-2023,30.97,62.36,9.88,27.45,28.31,14.47,0.85,4.16,23.45,0.65,2.87,,73,Satisfactory
Bengaluru,19-07-2023,18.98,37.85,6.92,22.61,22.72,13.99,0.67,4.42,22.89,0.51,1.76,,66,Satisfactory
Bengaluru,20-07-2023,15.96,42.66,5.09,21.56,21.45,12.36,0.63,7.4,25.53,0.61,1.14,,48,Good
Bengaluru,21-07-2023,19.24,41.46,6.43,23.64,25.39,11.87,0.67,7.96,25.98,0.4,1.03,,64,Satisfactory
Bengaluru,22-07-2023,15.91,41.71,6.7,24.64,26.02,11.03,0.69,6.1,27.44,0.36,1.11,,57,Satisfactory
Bengaluru,23-07-2023,19.14,41.62,6.94,23.99,25.31,11.49,0.75,3.98,24.3,0.4,1.38,,56,Satisfactory
Bengaluru,24-07-2023,20.89,63.75,6.44,23.42,24.67,12.15,0.67,3.69,25.88,0.58,1.19,,60,Satisfactory
Bengaluru,25-07-2023,20.67,53.24,7.12,23.58,24.76,11.97,0.77,3.63,23.94,0.5,1.6,,64,Satisfactory
Bengaluru,26-07-2023,20.33,53.25,6.92,23.49,24.97,11.62,0.73,4.09,21.84,0.44,1.34,,62,Satisfactory
Bengaluru,27-07-2023,23.21,50.99,5.66,20.93,19.66,11.85,0.64,3.87,24.81,0.39,1.36,,55,Satisfactory
